"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.051689667E0,2.799179077E-2,2.466870117E-1,9.884544983E0,9.887662390E0
3.061721667E0,4.296066284E-2,2.963836670E-1,9.802216187E0,9.806790049E0
3.071753667E0,-2.230361938E-2,2.351609802E-1,9.713151398E0,9.716023272E0
3.081785667E0,4.834945679E-2,3.037184143E-1,9.833501129E0,9.838309154E0
3.091816667E0,1.137634277E-2,2.285746765E-1,9.885592804E0,9.888241547E0
3.101848667E0,-3.861968994E-2,2.772235107E-1,9.749376068E0,9.753393157E0
3.111880667E0,7.424560547E-2,2.219883728E-1,9.816735992E0,9.819526302E0
3.121911667E0,1.302291870E-2,2.228865051E-1,9.858648834E0,9.861176645E0
3.131943667E0,7.319778442E-2,2.432441711E-1,9.883796539E0,9.887060214E0
3.141975667E0,-5.882766724E-2,2.330653381E-1,9.669292603E0,9.672279958E0
3.152007667E0,9.340576172E-2,2.781216431E-1,9.828561401E0,9.832939312E0
3.162038667E0,-1.945953369E-3,2.637515259E-1,9.945917358E0,9.949414091E0
3.172070667E0,4.296066284E-2,2.628533936E-1,9.760902100E0,9.764535182E0
3.182102250E0,2.395019531E-3,2.537223816E-1,9.690847778E0,9.694168940E0
3.192133250E0,2.305206299E-2,2.594105530E-1,9.977351990E0,9.980750371E0
3.202165250E0,5.822891235E-2,2.421963501E-1,9.869276733E0,9.872419811E0
3.212197250E0,-3.517684937E-2,1.950444031E-1,9.727970581E0,9.729989278E0
